1250 : 1
1450 : 1
1520 : 1
1669 : 1
1735 : 1
1740 : 1
1741 : 1
1751 : 1
1766 : 1
1772 : 1
1774 : 3
1782 : 2
1783 : 1
1789 : 1
1790 : 1
1791 : 2
1794 : 1
1797 : 2
1801 : 1
1802 : 1
1803 : 3
1804 : 2
1807 : 2
1808 : 4
1811 : 1
1817 : 3
1823 : 1
1825 : 1
1826 : 1
1828 : 1
1831 : 1
1839 : 1
1843 : 2
1844 : 1
1860 : 1
1861 : 2
1863 : 1
1868 : 1
1875 : 1
1878 : 1
1879 : 4
1880 : 1
1885 : 2
1886 : 3
1889 : 1
1894 : 1
1898 : 5
1899 : 1
1900 : 1
1907 : 1
1917 : 1
1923 : 1
1925 : 1
1937 : 1
1939 : 1
1940 : 3
1944 : 2
1945 : 1
1949 : 1
1952 : 1
1953 : 1
1955 : 1
1958 : 1
1961 : 1
1966 : 1
1967 : 1
1974 : 1
1976 : 1
1982 : 1
1984 : 1
1994 : 2
1996 : 1
1999 : 1
2001 : 1
2004 : 2
2006 : 1
2010 : 1
